Command / Field,Group,Help Tag Text
Validate,Toolbar,Validate Table
Column,Toolbar,Set Column Properties
Table,Toolbar,Set Table Properties
Provenance,Toolbar,Set Provenance Information
Package,Toolbar,Set Data Package Properties
Export,Toolbar,Export Data Package
Add Tab,Tab,Add Data Tab
Close Tab,Tab,Close Data Tab
Close Panel,All Panels,Close Panel
Next,Property Panels,Next Property Panel
Previous,Property Panels,Previous Property Panel
Name,Column Property,"The <a href=""http://specs.frictionlessdata.io/table-schema/#name"">Name</a> of the column. Usually the value of the first row in the column."
Title,Column Property,"A human readable <a href=""http://specs.frictionlessdata.io/table-schema/#title"">Title</a> for the column."
Description,Column Property,"A <a href=""http://specs.frictionlessdata.io/table-schema/#description>Description</a> of the column"
Type,Column Property,"Choose a <a href=""http://specs.frictionlessdata.io/table-schema/#types-and-formats"">Type</a> for the data in the column"
Format,Column Property,"Choose the <a href=""http://specs.frictionlessdata.io/table-schema/#types-and-formats"">Format</a> for the Type of data"
RDF Type,Column Property,"Set a <a href=""http://specs.frictionlessdata.io/table-schema/#rich-types"">RDF Type</a> to provide extra meaning to the Type"
Constraint,Column Property,"Set a <a href=""http://specs.frictionlessdata.io/table-schema/#constraints"">Constraint</a> to limit valid values"
Missing Value,Column Property,"Value(s) that indicate a <a href=""http://specs.frictionlessdata.io/table-schema/#missing-values"">Missing Value</a>. Separate values with a comma."
URL,Table Property,http://specs.frictionlessdata.io/data-resource/#path-data-in-files
Name,Table Property,http://specs.frictionlessdata.io/data-resource/#name
Title,Table Property,http://specs.frictionlessdata.io/data-resource/#optional-properties
Description,Table Property,http://specs.frictionlessdata.io/data-resource/#optional-properties
Sources,Table Property,http://specs.frictionlessdata.io/data-resource/#optional-properties
Licenses,Table Property,http://specs.frictionlessdata.io/data-resource/#optional-properties
CSV Dialect,Table Property,http://specs.frictionlessdata.io/tabular-data-resource/#csv-dialect
Primary Key,Table Property,http://specs.frictionlessdata.io/table-schema/#primary-key
Foreign Key Table,Table Property,http://specs.frictionlessdata.io/table-schema/#foreign-keys
Foreign Key Columns,Table Property,http://specs.frictionlessdata.io/table-schema/#foreign-keys
Name,Data Package Property,http://specs.frictionlessdata.io/data-package/#name
Id,Data Package Property,http://specs.frictionlessdata.io/data-package/#id
Licenses,Data Package Property,http://specs.frictionlessdata.io/data-package/#licenses
Title,Data Package Property,http://specs.frictionlessdata.io/data-package/#title
Description,Data Package Property,http://specs.frictionlessdata.io/data-package/#description
Home Page,Data Package Property,http://specs.frictionlessdata.io/data-package/#homepage
Version,Data Package Property,http://specs.frictionlessdata.io/data-package/#version
Sources,Data Package Property,http://specs.frictionlessdata.io/data-package/#sources
Contributors,Data Package Property,http://specs.frictionlessdata.io/data-package/#contributors
Image,Data Package Property,http://specs.frictionlessdata.io/data-package/#image
Keywords,Data Package Property,http://specs.frictionlessdata.io/data-package/#created
