Command / Field,Group,Help Tag Text
Validate,Toolbar,Validate Table
Column,Toolbar,Set Column Properties
Table,Toolbar,Set Table Properties
Provenance,Toolbar,Set Provenance Information
Package,Toolbar,Set Data Package Properties
Export,Toolbar,Export Data Package
Add Tab,Tab,Add Data Tab
Close Tab,Tab,Close Data Tab
Close Panel,All Panels,Close Panel
Next,Property Panels,Next Property Panel
Previous,Property Panels,Previous Property Panel
Name,Column Property,"The <a href=""http://specs.frictionlessdata.io/table-schema/#name"">Name</a> of the column. Usually the value of the first row in the column."
Title,Column Property,"A human readable <a href=""http://specs.frictionlessdata.io/table-schema/#title"">Title</a> for the column."
Description,Column Property,"A <a href=""http://specs.frictionlessdata.io/table-schema/#description"">Description</a> of the column"
Type,Column Property,"Choose a <a href=""http://specs.frictionlessdata.io/table-schema/#types-and-formats"">Type</a> for the data in the column"
Format,Column Property,"Choose the <a href=""http://specs.frictionlessdata.io/table-schema/#types-and-formats"">Format</a> for the Type of data"
RDF Type,Column Property,"Set a <a href=""http://specs.frictionlessdata.io/table-schema/#rich-types"">RDF Type</a> to provide extra meaning to the Type"
Constraint,Column Property,"Set a <a href=""http://specs.frictionlessdata.io/table-schema/#constraints"">Constraint</a> to limit valid values"
Missing Value,Column Property,"Value(s) that indicate a <a href=""http://specs.frictionlessdata.io/table-schema/#missing-values"">Missing Value</a>. Separate values with a comma."
Name,Table Property,"The <a href=""http://specs.frictionlessdata.io/data-resource/#name"">Name</a>of the Table. Lower case, numbers, ""."", ""_"", ""-"" characters only"
Title,Table Property,"The <a href=""http://specs.frictionlessdata.io/data-resource/#optional-properties"">Title</a> or one sentence description for this Table"
Description,Table Property,"A <a href=""http://specs.frictionlessdata.io/data-resource/#optional-properties"">Description</a> for the Table"
Sources,Table Property,"The <a href=""http://specs.frictionlessdata.io/data-resource/#optional-properties"">Sources</a> for the data in this Table. Each Source MUST have a title and MAY have path and/or email address."
License,Table Property,"The Open <a href=""http://specs.frictionlessdata.io/data-resource/#optional-properties"">License</a> under which the Table is provided"
CSV Dialect,Table Property,"Select the <a href=""http://specs.frictionlessdata.io/tabular-data-resource/#csv-dialect"">CSV Dialect</a> for the Table"
Primary Key,Table Property,"Select the column(s) that are the <a href=""http://specs.frictionlessdata.io/table-schema/#primary-key"">Primary Key</a> that uniquely identifies each row in the table."
Foreign Key Table,Table Property,"Select the table to reference for the <a href=""http://specs.frictionlessdata.io/table-schema/#foreign-keys"">Foreign Key</a>"
Foreign Key Columns,Table Property,"Select the column(s) that make up the <a href=""http://specs.frictionlessdata.io/table-schema/#foreign-keys"">Foreign Key Table</a>"
Name,Data Package Property,"The <a href=""http://specs.frictionlessdata.io/data-package/#name"">Name</a> of the Data Package. Lower case, numbers, ""."", ""_"", ""-"" characters only"
Id,Data Package Property,"A globally unique identifier (<a href=""http://specs.frictionlessdata.io/data-package/#id"">Id</a>) e.g. a UUID or DOI"
License,Data Package Property,"The Open <a href=""http://specs.frictionlessdata.io/data-package/#licenses"">License</a> under which the Data Package is provided"
Title,Data Package Property,"A <a href=""http://specs.frictionlessdata.io/data-package/#title"">Title</a> or one sentence description for this Data Package"
Description,Data Package Property,"The first paragraph of the <a href=""http://specs.frictionlessdata.io/data-package/#description"">Description</a>  should be usable as summary information for the package. Markdown formatting allowed."
Home Page,Data Package Property,"The <a href=""http://specs.frictionlessdata.io/data-package/#homepage"">Home Page</a>"
Version,Data Package Property,"The <a href=""http://specs.frictionlessdata.io/data-package/#version"">Version</a> of the data package. It should conform to the [Data Package Version Pattern](http://specs.frictionlessdata.io/patterns/#data-package-version)."
Sources,Data Package Property,"A list of <a href=""http://specs.frictionlessdata.io/data-package/#sources"">Sources</a> for this Data Package. Each Source MUST have a title and MAY have path and/or email address."
Contributors,Data Package Property,"A list of <a href=""http://specs.frictionlessdata.io/data-package/#contributors"">Contributors</a> (people or organisations) who contributed to this Data Package"
Keywords,Data Package Property,"A list of <a href=""http://specs.frictionlessdata.io/data-package/#keywords"">Keywords</a> to assist users searching for the package in catalogs"
Image URL,Data Package Property,"The URL of an <a href=""http://specs.frictionlessdata.io/data-package/#image"">Image</a> to use for this Data Package."
