Command / Field,Group,en,fr
Validate,Toolbar,Validate Table,Valider Table
Column,Toolbar,Set Column Properties,Définir Propriétés Colonnes
Table,Toolbar,Set Table Properties, Définir Propriétés Table
Provenance,Toolbar,Set Provenance Information, Définir Provenance Information
Package,Toolbar,Set Data Package Properties,Définir Propriétés Package
Export,Toolbar,Export Data Package,Export Data Package
Add Tab,Tab,Add Data Tab,Ajout feuille de données
Close Tab,Tab,Close Data Tab,Fermer Feuille de Données
Close Panel,All Panels,Close Panel,Fermer Panneau
Next,Property Panels,Next Property Panel,Panneau de proriété suivant
Previous,Property Panels,Previous Property Panel,Panneau de proriété précédent
Name,Column Property,"The <a href=""http://frictionlessdata.io/specs/table-schema/#name"">Name</a> of the column. Usually the value of the first row in the column.","The <a href=""http://frictionlessdata.io/specs/table-schema/#name"">Name</a> of the column. Usually the value of the first row in the column."
Title,Column Property,"A human readable <a href=""http://frictionlessdata.io/specs/table-schema/#title"">Title</a> for the column.","A human readable <a href=""http://frictionlessdata.io/specs/table-schema/#title"">Title</a> for the column."
Description,Column Property,"A <a href=""http://frictionlessdata.io/specs/table-schema/#description"">Description</a> of the column","A <a href=""http://frictionlessdata.io/specs/table-schema/#description"">Description</a> of the column"
Type,Column Property,"Choose a <a href=""http://frictionlessdata.io/specs/table-schema/#types-and-formats"">Type</a> for the data in the column","Choose a <a href=""http://frictionlessdata.io/specs/table-schema/#types-and-formats"">Type</a> for the data in the column"
Format,Column Property,"Choose the <a href=""http://frictionlessdata.io/specs/table-schema/#types-and-formats"">Format</a> for the Type of data","Choose the <a href=""http://frictionlessdata.io/specs/table-schema/#types-and-formats"">Format</a> for the Type of data"
RDF Type,Column Property,"Set a <a href=""http://frictionlessdata.io/specs/table-schema/#rich-types"">RDF Type</a> to provide extra meaning to the Type","Set a <a href=""http://frictionlessdata.io/specs/table-schema/#rich-types"">RDF Type</a> to provide extra meaning to the Type"
Constraint,Column Property,"Set a <a href=""http://frictionlessdata.io/specs/table-schema/#constraints"">Constraint</a> to limit valid values","Set a <a href=""http://frictionlessdata.io/specs/table-schema/#constraints"">Constraint</a> to limit valid values"
Missing Value,Column Property,"Value(s) that indicate a <a href=""http://frictionlessdata.io/specs/table-schema/#missing-values"">Missing Value</a>. Separate values with a comma.","Value(s) that indicate a <a href=""http://frictionlessdata.io/specs/table-schema/#missing-values"">Missing Value</a>. Separate values with a comma."
Name,Table Property,"The <a href=""http://frictionlessdata.io/specs/data-resource/#name"">Name</a>of the Table. Lower case, numbers, ""."", ""_"", ""-"" characters only","The <a href=""http://frictionlessdata.io/specs/data-resource/#name"">Name</a>of the Table. Lower case, numbers, ""."", ""_"", ""-"" characters only"
Title,Table Property,"The <a href=""http://frictionlessdata.io/specs/data-resource/#optional-properties"">Title</a> or one sentence description for this Table","The <a href=""http://frictionlessdata.io/specs/data-resource/#optional-properties"">Title</a> or one sentence description for this Table"
Description,Table Property,"A <a href=""http://frictionlessdata.io/specs/data-resource/#optional-properties"">Description</a> for the Table","A <a href=""http://frictionlessdata.io/specs/data-resource/#optional-properties"">Description</a> for the Table"
